epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
94,17570.8,0.23722,0.19823,0.78927,0.9999,0.99985,0.995,0.97162,0.1617,0.15428,0.77295,0.00048275,0.00048275,0.00048275
95,17762.7,0.22883,0.19473,0.79049,0.99986,0.99985,0.995,0.96985,0.17606,0.15808,0.77278,0.0004745,0.0004745,0.0004745
96,17958.7,0.23496,0.19709,0.78787,0.99987,0.99987,0.995,0.97365,0.17361,0.15814,0.77251,0.00046625,0.00046625,0.00046625
97,18150.9,0.23005,0.19423,0.78758,0.99987,0.99987,0.995,0.97889,0.16814,0.15417,0.77175,0.000458,0.000458,0.000458
98,18344.6,0.22254,0.18939,0.78798,0.99986,0.99987,0.995,0.97838,0.16088,0.15039,0.77197,0.00044975,0.00044975,0.00044975
99,18534.4,0.23451,0.19316,0.78785,0.99982,0.99984,0.995,0.96788,0.19164,0.16007,0.7723,0.0004415,0.0004415,0.0004415
100,18731,0.23402,0.19256,0.78942,0.99989,0.99983,0.995,0.97247,0.17023,0.15253,0.77236,0.00043325,0.00043325,0.00043325
101,18930.5,0.22697,0.18981,0.78782,0.9999,0.99984,0.995,0.97386,0.1622,0.15167,0.77187,0.000425,0.000425,0.000425
102,19127.7,0.23036,0.19286,0.78807,0.99989,0.99982,0.995,0.96788,0.18804,0.15872,0.77194,0.00041675,0.00041675,0.00041675
103,19325.8,0.24179,0.1963,0.78847,0.99988,0.99985,0.995,0.98045,0.16185,0.1503,0.77094,0.0004085,0.0004085,0.0004085
104,19516.3,0.22532,0.18956,0.78564,0.9998,0.99981,0.995,0.96262,0.18478,0.15537,0.77146,0.00040025,0.00040025,0.00040025
105,19703.7,0.22599,0.1905,0.78736,0.99989,0.99983,0.995,0.97433,0.16128,0.14839,0.77193,0.000392,0.000392,0.000392
106,19890.9,0.21596,0.18636,0.78699,0.99989,0.99985,0.995,0.9811,0.1565,0.14646,0.77148,0.00038375,0.00038375,0.00038375
